Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13,Gen_14,Gen_15,Gen_16,Gen_17,Gen_18,Gen_19,Gen_20
22,17,P4_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,18,P4_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,11,P3_UBI_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,15,P3_UBI_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA
23,17,P3_UBI_male,P4_UBI_male,Male,2,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,18,P3_UBI_male,P4_UBI_male,Male,2,NO,NO,NO,NA,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,20,P3_UBI_male,P4_UBI_male,Male,2,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,22,P3_UBI_male,P4_UBI_male,Male,2,NO,NO,NO,NA,FEMALE,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,11,P4_UBI_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,12,P4_UBI_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,FEMALE,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,13,P4_UBI_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,FEMALE,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,15,P4_UBI_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,16,P4_UBI_male,P3_UBI_male,Male,2,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,18,P4_UBI_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,19,P4_UBI_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
